"Type (Control=0, Stress=1)",Beta power,"Anxiety (Low=0, High=1)",,,,,,,,Participant number
0,-0.300059746214802,0,,,,,,,,5
0,-0.41044784363772,0,,,,,,,,5
0,-0.35099786621315,0,,,,,,,,5
0,-0.515207685267868,0,,,,,,,,5
0,0.04568744188836,0,,,,,,,,5
0,-0.363691749163482,0,,,,,,,,5
0,-0.266876119836902,0,,,,,,,,5
0,0.138820177771312,0,,,,,,,,5
0,-0.17971434877894,0,,,,,,,,5
0,-0.297161515663323,0,,,,,,,,5
0,-0.297061110217421,0,,,,,,,,5
0,0.032544698098025,0,,,,,,,,5
0,-0.30993250128174,0,,,,,,,,5
0,-0.025061929441488,0,,,,,,,,5
0,0.218623839811211,0,,,,,,,,5
0,0.345626420200408,0,,,,,,,,5
0,0.315992062326495,0,,,,,,,,5
0,-0.179226788629207,0,,,,,,,,5
0,0.134679761802761,0,,,,,,,,5
0,-0.260762705025127,0,,,,,,,,5
0,-0.236982190560516,0,,,,,,,,5
0,-0.012408033900966,0,,,,,,,,5
0,-0.295512119214884,0,,,,,,,,5
0,-0.321212329069656,0,,,,,,,,5
0,-0.171163393594577,0,,,,,,,,5
0,-0.085461061312378,0,,,,,,,,5
0,-0.172348994057826,0,,,,,,,,5
0,-0.298004281659078,0,,,,,,,,5
0,-0.161650912572797,0,,,,,,,,5
0,-0.291565836298721,0,,,,,,,,5
0,-0.472121640567531,0,,,,,,,,5
0,-0.142824532622193,0,,,,,,,,5
0,-0.323660188669077,0,,,,,,,,5
0,-0.061895625057665,0,,,,,,,,5
0,-0.343535936571426,0,,,,,,,,5
0,-0.281267708051208,0,,,,,,,,5
0,-0.322585093581931,0,,,,,,,,5
0,-0.165048023356354,0,,,,,,,,5
0,-0.226304625323126,0,,,,,,,,5
0,-0.474300422343041,0,,,,,,,,5
0,-0.425581469716098,0,,,,,,,,5
0,-0.171545254862204,0,,,,,,,,5
0,-0.358690521846138,0,,,,,,,,5
0,-0.339965659873931,0,,,,,,,,5
0,-0.324982144193829,0,,,,,,,,5
0,-0.104519819303327,0,,,,,,,,5
0,-0.323250396929427,0,,,,,,,,5
0,-0.166779366251303,0,,,,,,,,5
0,-0.060664278539222,0,,,,,,,,5
0,-0.312092608037586,0,,,,,,,,5
0,-0.537590924301588,0,,,,,,,,5
0,-0.371498866056668,0,,,,,,,,5
0,-0.205815696255609,0,,,,,,,,5
0,-0.174907470904768,0,,,,,,,,5
0,-0.331536806371873,0,,,,,,,,5
0,-0.079244831534362,0,,,,,,,,5
0,-0.303294092100591,0,,,,,,,,5
0,-0.223779689115317,0,,,,,,,,5
0,-0.150716592338835,0,,,,,,,,5
0,-0.33272728701863,0,,,,,,,,6
0,-0.2919470670197,0,,,,,,,,6
0,-0.295953318066697,0,,,,,,,,6
0,-0.264575668082612,0,,,,,,,,6
0,-0.296883294084544,0,,,,,,,,6
0,-0.066704094198081,0,,,,,,,,6
0,-0.24982643191402,0,,,,,,,,6
0,-0.162367933448971,0,,,,,,,,6
0,-0.354140925766119,0,,,,,,,,6
0,-0.295014901662208,0,,,,,,,,6
0,-0.199669122488676,0,,,,,,,,6
0,0.214070308940586,0,,,,,,,,6
0,-0.258195545690316,0,,,,,,,,6
0,-0.171583175058496,0,,,,,,,,6
0,-0.12390482741703,0,,,,,,,,6
0,0.06293905710342,0,,,,,,,,6
0,-0.248702403076741,0,,,,,,,,6
0,-0.030745591263047,0,,,,,,,,6
0,-0.180100627400138,0,,,,,,,,6
0,-0.179317862651332,0,,,,,,,,6
0,0.308999392214701,0,,,,,,,,6
0,-0.032328259569329,0,,,,,,,,6
0,0.000994901513963,0,,,,,,,,6
0,-0.220934773038352,0,,,,,,,,6
0,-0.178664074416082,0,,,,,,,,6
0,-0.134641062448852,0,,,,,,,,6
0,0.013327145408608,0,,,,,,,,6
0,0.051028208203897,0,,,,,,,,6
0,-0.204216925758277,0,,,,,,,,6
0,-0.117382658338548,0,,,,,,,,6
0,-0.055679952878686,0,,,,,,,,6
0,-0.18439729368285,0,,,,,,,,6
0,0.176397158298388,0,,,,,,,,6
0,0.094605669981039,0,,,,,,,,6
0,-0.224625843648757,0,,,,,,,,6
0,-0.075945470336903,0,,,,,,,,6
0,-0.096974116285366,0,,,,,,,,6
0,-0.098156882089101,0,,,,,,,,6
0,-0.165211984614502,0,,,,,,,,6
0,-0.077644987715287,0,,,,,,,,6
0,-0.079097904196235,0,,,,,,,,6
0,-0.171986903932582,0,,,,,,,,6
0,-0.03675997328962,0,,,,,,,,6
0,-0.051125470444798,0,,,,,,,,6
0,-0.137097806509909,0,,,,,,,,6
0,-0.010337523405959,0,,,,,,,,6
0,-0.077797499093572,0,,,,,,,,6
0,-0.091522432237675,0,,,,,,,,6
0,0.089777173971617,0,,,,,,,,6
0,-0.075457983487512,0,,,,,,,,6
0,-0.177474872960564,0,,,,,,,,6
0,0.072606152664997,0,,,,,,,,6
0,-0.105736147297737,0,,,,,,,,6
0,-0.192046754410499,0,,,,,,,,6
0,-0.194486074826744,0,,,,,,,,6
0,-0.100209617415978,0,,,,,,,,6
0,-0.241014304631498,0,,,,,,,,6
0,-0.269790609458595,0,,,,,,,,6
0,-0.25056656887888,0,,,,,,,,6
0,0.055863033587821,0,,,,,,,,6
0,-0.204994294020991,0,,,,,,,,6
